game_id,game_name,year_month,listing_type,listing_type_label,observations,sell_rows,buy_rows,trade_rows,unknown_rows,quantity_total,price_candidate_rows,strict_price_rows,missing_price_rows,unique_cards,unique_sellers,first_posted_at,last_posted_at,median_price_krw
digimontcg,디지몬 카드게임,2026-07,,,11516,5629,1712,70,4105,18279,5479,12,3223,1926,1530,2026-07-04T21:23:06+09:00,2026-07-31T23:44:46+09:00,750
digimontcg,디지몬 카드게임,2026-08,,,10882,6175,1007,91,3609,15295,5333,16,2587,914,1023,2026-08-01T00:45:01+09:00,2026-08-13T17:07:12+09:00,3000
onepiececardgame,원피스 카드게임,2026-07,,,8747,6388,1230,0,1129,13974,4673,5,1781,1736,1138,2026-07-12T09:33:29+09:00,2026-07-31T22:59:31+09:00,3000
onepiececardgame,원피스 카드게임,2026-08,,,9488,5378,1704,0,2406,18204,4074,0,1884,1318,1025,2026-08-01T00:11:30+09:00,2026-08-13T17:02:38+09:00,
onepiececardgame,원피스 카드게임,unknown-date,,,43,0,43,0,0,43,41,0,2,26,3,,,
pokemoncardgame,포켓몬 카드게임,2026-03,,,19,3,1,0,15,34,7,0,4,17,5,2026-03-31T10:11:45+09:00,2026-03-31T23:56:52+09:00,
pokemoncardgame,포켓몬 카드게임,2026-04,,,2200,695,295,8,1202,3750,770,10,967,1038,191,2026-04-01T03:39:56+09:00,2026-04-30T21:04:57+09:00,3250
pokemoncardgame,포켓몬 카드게임,2026-05,,,2555,968,494,18,1075,3599,1089,11,983,913,318,2026-05-01T00:28:20+09:00,2026-05-31T23:55:04+09:00,800
pokemoncardgame,포켓몬 카드게임,2026-06,,,9246,3137,588,0,5521,26973,1849,9,2514,1473,366,2026-06-01T02:21:32+09:00,2026-06-30T23:47:26+09:00,600
pokemoncardgame,포켓몬 카드게임,2026-07,,,8011,5583,674,0,1754,34173,1400,55,2457,1019,447,2026-07-01T01:02:45+09:00,2026-07-31T20:14:36+09:00,1000
pokemoncardgame,포켓몬 카드게임,2026-08,,,3382,2172,393,8,809,45846,714,107,1433,327,291,2026-08-01T01:21:58+09:00,2026-08-13T17:09:45+09:00,2000
tcggame,유희왕,2026-07,,,24486,19451,1726,15,3294,59495,12536,12,5392,5631,2063,2026-07-07T10:48:36+09:00,2026-07-31T23:59:01+09:00,5000
tcggame,유희왕,2026-08,,,42368,33886,2689,30,5763,124947,18721,5,9106,3778,2855,2026-08-01T00:00:43+09:00,2026-08-13T17:02:58+09:00,200
vg,뱅가드,2026-06,,,5453,2593,406,38,2416,9315,2655,0,1118,1164,461,2026-06-10T00:08:51+09:00,2026-06-30T23:58:59+09:00,
vg,뱅가드,2026-07,,,12086,7222,627,0,4237,19156,4881,10,3072,1543,1059,2026-07-01T00:07:26+09:00,2026-07-31T23:12:43+09:00,2000
vg,뱅가드,2026-08,,,11775,8072,660,0,3043,17098,5860,6,2403,1020,984,2026-08-01T00:32:17+09:00,2026-08-13T17:09:29+09:00,27000
